Name,Membership,Location,Reputation,Reached,Answers,Questions,Gold Badges,Silver Badges,Bronze Badges,Tags,Profile Link
dbush,"11 years, 10 months",New Jersey,"217,419",7.6m,"5,930",15,,,,"c 16,742,pointers 2,131,c++ 2,050,arrays 1,506,struct 1,031,function 816,",https://stackoverflow.com/users/1687119/dbush
lukas eder,"13 years, 7 months","St. Gallen, Schweiz","217,994",27.3m,"3,493",257,,,,"java 11,199,sql 5,237,jooq 4,371,oracle 1,263,postgresql 1,211,mysql 1,141,",https://stackoverflow.com/users/521799/lukas-eder
dogbert,"14 years, 3 months","Dehradun, Uttarakhand, India","218,226",14.8m,"2,512",80,41,412,410,"elixir 6,840,phoenix-framework 2,296,javascript 2,118,jquery 2,100,ruby 1,891,ruby-on-rails 1,207,",https://stackoverflow.com/users/320615/dogbert
joseph silber,"13 years, 10 months",,"218,429",23.5m,"1,975",25,59,365,293,"javascript 6,500,jquery 5,934,laravel 4,983,php 4,523,css 2,682,html 2,319,",https://stackoverflow.com/users/825568/joseph-silber
john conde,"14 years, 6 months","New Jersey, USA","218,867",29.7m,"4,435",19,,,,"php 13,975,mysql 3,669,html 3,086,date 3,018,datetime 2,275,sql 1,752,",https://stackoverflow.com/users/250259/john-conde
r sahu,"13 years, 10 months","Albuquerque, NM","205,928",13.4m,"7,427",55,,,,"c++ 12,320,c 3,889,c++11 1,898,pointers 1,803,arrays 1,250,templates 880,",https://stackoverflow.com/users/434551/r-sahu
siride,14 years,,"206,316",7.0m,294,18,5,41,63,"git 19,747,c# 433,.net 91,sql 84,mysql 83,generics 46,",https://stackoverflow.com/users/394487/siride
andrew clark,"13 years, 8 months","San Jose, CA","206,439",33.5m,"1,961",9,35,280,309,"python 16,737,string 4,207,regex 3,250,list 2,995,python-2.7 1,281,dictionary 835,",https://stackoverflow.com/users/505154/andrew-clark
james d,"11 years, 4 months",,"206,543",13.4m,"4,620",4,16,304,335,"javafx 13,415,java 10,021,javafx-8 3,079,javafx-2 1,594,fxml 1,535,tableview 1,165,",https://stackoverflow.com/users/2189127/james-d
j08691,"13 years, 5 months",New Jersey,"206,650",22.0m,"5,202",8,,,,"html 9,237,css 7,822,jquery 5,601,javascript 4,676,jquery-ui 700,php 422,",https://stackoverflow.com/users/616443/j08691
epascarello,"15 years, 10 months",Maryland,"206,785",22.7m,"6,825",3,,,,"javascript 15,422,jquery 5,076,html 3,962,css 935,ajax 862,json 709,",https://stackoverflow.com/users/14104/epascarello
pentium10,"14 years, 6 months","Transylvania, Romania","206,865",21.3m,"1,649",461,,,,"android 6,426,java 1,780,google-bigquery 1,543,php 505,mysql 503,sqlite 432,",https://stackoverflow.com/users/243782/pentium10
leora,"15 years, 10 months","New York, NY","194,113",36.8m,91,"1,814",365,897,"1,375","c# 115,jquery 49,html 16,asp.net-mvc 11,javascript 9,jqgrid 4,",https://stackoverflow.com/users/4653/leora
romainl,"13 years, 7 months","Paris, France","193,349",11.0m,"3,397",1,,,,"vim 16,287,vi 1,376,macos 883,macvim 853,vim-plugin 556,regex 347,",https://stackoverflow.com/users/546861/romainl
gabriele petrioli,15 years,"Athens, Greece","194,800",25.7m,"4,479",8,,,,"javascript 6,675,jquery 5,868,html 4,505,css 4,425,reactjs 935,ajax 502,",https://stackoverflow.com/users/128165/gabriele-petrioli
mark b,"15 years, 10 months","Knoxville, TN","195,513",15.2m,"3,619",10,,,,"amazon-web-services 7,701,android 6,787,aws-lambda 2,381,amazon-s3 2,029,amazon-ec2 1,248,java 1,014,",https://stackoverflow.com/users/13070/mark-b
louis wasserman,"12 years, 11 months","Sunnyvale, CA","195,648",13.7m,"3,148",25,,,,"java 16,235,guava 2,262,java-8 2,147,java-stream 1,691,collections 1,164,generics 1,083,",https://stackoverflow.com/users/869736/louis-wasserman
hakre,"14 years, 1 month",United Federation of Planets,"195,920",25.2m,"4,792",66,,,,"php 14,840,arrays 1,309,xml 1,271,html 700,mysql 676,regex 549,",https://stackoverflow.com/users/367456/hakre
amadan,"14 years, 6 months",,"196,339",14.0m,"5,055",60,,,,"javascript 4,705,ruby 2,611,python 2,216,arrays 1,211,regex 1,139,jquery 1,065,",https://stackoverflow.com/users/240443/amadan
tanaike,"7 years, 8 months",Japan,"196,054",7.7m,"6,720",0,,,,"google-apps-script 7,875,google-sheets 5,455,javascript 2,404,google-drive-api 1,981,google-sheets-api 1,588,python 1,229,",https://stackoverflow.com/users/7108653/tanaike
david schwartz,"13 years, 2 months","San Francisco Bay Area, CA, USA","181,824",14.1m,"4,979",17,,,,"c++ 6,777,c 3,591,multithreading 2,204,linux 980,sockets 878,java 767,",https://stackoverflow.com/users/721269/david-schwartz
gilles qu%c3%a9not,"13 years, 9 months",World Citizen,"181,868",21.5m,"3,102",48,,,,"bash 7,991,shell 6,548,linux 4,163,unix 3,025,sed 1,555,awk 1,098,",https://stackoverflow.com/users/465183/gilles-qu%c3%a9not
kindall,"13 years, 11 months","Downingtown, PA","182,478",30.1m,"2,309",8,,,,"python 16,250,python-2.7 1,329,python-3.x 979,list 860,function 845,dictionary 717,",https://stackoverflow.com/users/416467/kindall
daniel fischer,"12 years, 8 months",,"183,203",10.6m,"2,125",3,,,,"c++ 5,906,haskell 5,899,java 5,548,c 4,270,algorithm 1,145,ghc 618,",https://stackoverflow.com/users/1011995/daniel-fischer
marcelo cantos,"15 years, 10 months",Australia,"184,218",27.0m,"2,480",29,,,,"python 3,847,c++ 3,286,sql 1,497,c# 1,216,c 1,054,javascript 606,",https://stackoverflow.com/users/9990/marcelo-cantos
adam robinson,"15 years, 3 months","Charlotte, NC","184,639",21.9m,"1,789",43,,,,"c# 10,263,.net 4,397,sql-server 2,039,sql 1,979,linq 1,574,vb.net 743,",https://stackoverflow.com/users/82187/adam-robinson
lily ballard,"15 years, 11 months","San Leandro, California, United States","184,709",13.9m,"1,487",7,,,,"git 5,168,objective-c 4,732,ios 3,955,iphone 2,650,cocoa-touch 1,031,cocoa 945,",https://stackoverflow.com/users/582/lily-ballard
%c5%a0ime vidas,"13 years, 11 months","Zagreb, Croatia","184,727",26.1m,"1,261",190,63,283,390,"javascript 8,263,html 4,996,jquery 3,751,css 2,690,arrays 1,709,dom 1,404,",https://stackoverflow.com/users/425275/%c5%a0ime-vidas
alex wayne,"15 years, 5 months","Hillsboro, OR, United States","184,969",12.0m,"2,659",138,,,,"javascript 4,364,typescript 2,656,ruby 1,706,reactjs 1,101,jquery 889,iphone 879,",https://stackoverflow.com/users/62076/alex-wayne
mplungjan,"14 years, 4 months",Netherlands,"174,508",22.2m,"8,378",101,,,,"javascript 9,692,html 3,677,jquery 3,324,css 942,arrays 513,php 465,",https://stackoverflow.com/users/295783/mplungjan
alex riley,"9 years, 11 months",United Kingdom,"174,652",17.5m,675,3,46,270,244,"python 16,287,pandas 9,853,dataframe 9,399,numpy 4,966,arrays 3,607,string 1,013,",https://stackoverflow.com/users/3923281/alex-riley
flyswat,"15 years, 11 months",,"174,714",29.4m,610,147,75,247,313,"c# 6,506,javascript 832,.net 629,asp.net 527,html 192,java 172,",https://stackoverflow.com/users/1965/flyswat
dirk vollmar,"15 years, 7 months",Europe,"175,041",17.5m,"1,427",20,,,,"c# 6,081,ms-office 3,877,ms-word 3,611,.net 3,558,excel 3,490,vba 832,",https://stackoverflow.com/users/40347/dirk-vollmar
agf,"13 years, 8 months",United States,"175,076",27.1m,964,1,,,,"python 16,711,list 2,447,python-3.x 1,891,django 1,308,string 1,287,dictionary 981,",https://stackoverflow.com/users/500584/agf
simone carletti,"15 years, 1 month","Rome, Italy","175,299",9.5m,"2,059",25,,,,"ruby-on-rails 9,109,ruby 8,161,ruby-on-rails-3 1,378,git 1,049,activerecord 1,029,ruby-on-rails-4 996,",https://stackoverflow.com/users/123527/simone-carletti
paige ruten,"15 years, 11 months",Canada,"175,303",24.0m,483,28,36,180,198,"c++ 4,725,c 4,657,php 2,167,html 1,919,ruby 1,607,arrays 930,",https://stackoverflow.com/users/813/paige-ruten
josh lee,"15 years, 10 months","Pittsburgh, PA","175,659",21.7m,840,4,,,,"git 6,263,python 2,558,javascript 2,367,html 2,200,ruby 1,085,google-chrome 1,046,",https://stackoverflow.com/users/19750/josh-lee
andrew thompson,"13 years, 11 months","Sydney, Australia","168,548",21.0m,"4,628",47,,,,"java 13,562,swing 8,637,applet 1,501,jframe 1,182,awt 1,129,layout-manager 1,076,",https://stackoverflow.com/users/418556/andrew-thompson
allan cameron,"4 years, 7 months",UK,"168,822",2.4m,"5,758",0,,,,"r 10,812,ggplot2 4,297,dplyr 907,dataframe 633,plot 589,tidyverse 414,",https://stackoverflow.com/users/12500315/allan-cameron
bart kiers,"15 years, 6 months","Rotterdam, The Netherlands","168,849",22.7m,"2,581",14,,,,"java 6,604,regex 4,314,antlr 4,233,antlr4 2,394,parsing 1,673,antlr3 1,584,",https://stackoverflow.com/users/50476/bart-kiers
sharptooth,"15 years, 5 months",,"169,383",18.7m,"1,892","1,060",105,530,998,"c++ 5,659,c 1,620,com 731,memory-management 621,c# 431,visual-c++ 377,",https://stackoverflow.com/users/57428/sharptooth
alexey romanov,"15 years, 10 months","Moscow, Russia","169,571",10.3m,"3,641",506,,,,"scala 5,851,kotlin 1,933,java 1,446,haskell 891,erlang 636,functional-programming 508,",https://stackoverflow.com/users/9204/alexey-romanov
mathias r jessen,"13 years, 3 months",Netherlands,"169,691",11.6m,"4,572",9,,,,"powershell 11,973,windows 736,c# 658,powershell-3.0 573,arrays 407,csv 298,",https://stackoverflow.com/users/712649/mathias-r-jessen
misha moroshko,"14 years, 6 months","Melbourne VIC, Australia","169,785",19.0m,47,782,,,,"css 242,html 240,mysql 141,ruby-on-rails 126,ruby-on-rails-3 124,angularjs 31,",https://stackoverflow.com/users/247243/misha-moroshko
jonathan wakely,"12 years, 9 months","London, United Kingdom","169,815",11.2m,"2,183",3,,,,"c++ 13,323,c++11 6,707,gcc 2,300,multithreading 1,060,templates 939,g++ 814,",https://stackoverflow.com/users/981959/jonathan-wakely
bbum,"15 years, 9 months",California,"162,624",6.3m,"2,183",0,,,,"objective-c 13,199,ios 4,751,iphone 3,221,cocoa 2,090,xcode 1,219,memory-management 1,153,",https://stackoverflow.com/users/25646/bbum
